epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4819,5.05617,5.33439,4.37194,0.00232,0.0048,0.00084,0.00027,4.69975,inf,4.56015,0.070089,0.00332344,0.00332344
2,123.441,2.91972,2.48369,2.31269,0.56875,0.13863,0.13334,0.05895,2.1946,1.65448,1.72776,0.0400671,0.00663481,0.00663481
3,184.904,2.01536,1.57604,1.53539,0.3639,0.26327,0.21043,0.09799,1.78168,1.46059,1.4249,0.0100231,0.00992417,0.00992417
4,246.512,1.72726,1.25129,1.34924,0.53235,0.25222,0.26539,0.12875,1.88972,1.84007,1.52277,0.009901,0.009901,0.009901
5,307.137,1.54945,1.04417,1.24121,0.65082,0.49259,0.52155,0.30003,1.33456,0.86106,1.1402,0.009868,0.009868,0.009868
6,367.864,1.41906,0.90887,1.16953,0.71587,0.51246,0.56676,0.3334,1.16973,0.72622,1.06641,0.009835,0.009835,0.009835
7,428.226,1.32795,0.82018,1.12548,0.75625,0.5426,0.61892,0.36402,1.1551,0.67802,1.05335,0.009802,0.009802,0.009802
8,507.391,1.26861,0.75792,1.09337,0.73938,0.60889,0.66041,0.39707,1.05781,0.61338,1.01683,0.009769,0.009769,0.009769
9,604.914,1.20476,0.70833,1.06666,0.73488,0.62905,0.67463,0.42176,1.00521,0.57727,0.99374,0.009736,0.009736,0.009736
10,703.313,1.15959,0.67183,1.04474,0.74902,0.62821,0.68895,0.42609,0.99737,0.56073,0.97984,0.009703,0.009703,0.009703
11,802.865,1.11444,0.63896,1.02536,0.76058,0.66212,0.70827,0.44971,0.92706,0.5303,0.96001,0.00967,0.00967,0.00967
12,902.626,1.07658,0.61429,1.01345,0.7717,0.63464,0.69004,0.44096,0.91054,0.52695,0.95713,0.009637,0.009637,0.009637
13,998.088,1.04823,0.59278,1.00189,0.77059,0.68745,0.72986,0.47841,0.85969,0.48541,0.93865,0.009604,0.009604,0.009604
14,1093.44,1.02743,0.57836,0.99275,0.7814,0.68807,0.72883,0.47898,0.83199,0.48142,0.92709,0.009571,0.009571,0.009571
15,1189.31,1.00011,0.56244,0.98403,0.79986,0.69469,0.75115,0.49443,0.81749,0.46249,0.92561,0.009538,0.009538,0.009538
16,1285.33,0.97396,0.54419,0.97303,0.78557,0.69461,0.74181,0.48076,0.82969,0.4717,0.92235,0.009505,0.009505,0.009505
17,1380.69,0.95735,0.53597,0.96826,0.78139,0.71612,0.75487,0.49619,0.80227,0.45249,0.91296,0.009472,0.009472,0.009472
18,1476.35,0.94283,0.5225,0.96192,0.78927,0.73276,0.76208,0.51171,0.77611,0.43406,0.90713,0.009439,0.009439,0.009439
19,1572.1,0.92631,0.51509,0.95634,0.7913,0.71842,0.76163,0.51431,0.75263,0.42702,0.89889,0.009406,0.009406,0.009406
20,1668.41,0.91165,0.503,0.94936,0.80107,0.72327,0.76985,0.51649,0.74508,0.4189,0.89529,0.009373,0.009373,0.009373
21,1764.38,0.89799,0.49498,0.94468,0.80632,0.73216,0.77826,0.53614,0.7261,0.40959,0.89392,0.00934,0.00934,0.00934
22,1860.46,0.88483,0.48991,0.94224,0.80927,0.74633,0.78646,0.53699,0.71614,0.40756,0.88994,0.009307,0.009307,0.009307
